CLAVE MONITOREO,CLAVE SITIO,NOMBRE DEL SITIO,CLAVE ACUÍFERO,ACUÍFERO,ORGANISMO CUENCA,ESTADO,MUNICIPIO,CUERPO DE AGUA,TIPO DE CUERPO DE AGUA,SUBTIPO CUERPO AGUA,LATITUD,LONGITUD,FECHA,Alk,Cond,Hard,TDS,Fe,Mn,F,FC,NO3N,As,Cd,Cr,Hg,Pb
DLCAM246-290913,DLCAM246,POZO 6 DEL SISTEMA DE AGUA POTABLE DE HOPELCHEN,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,HOPELCHÉN,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,19.74251,-89.85167,2013-09-24,327.32,1071.0,416.42,685.44,0.025,0.0015,0.2,2.0,11.7148,0.01,0.003,0.005,0.0005,0.005
DLCAM246-240814,DLCAM246,POZO 6 DEL SISTEMA DE AGUA POTABLE DE HOPELCHEN,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,HOPELCHÉN,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,19.74251,-89.85167,2014-08-18,336.3,1190.0,458.7,814.0,0.025,0.0015,0.335,3.0,15.696,0.01,0.003,0.005,0.0005,0.005
DLCAM246-110916,DLCAM246,POZO 6 DEL SISTEMA DE AGUA POTABLE DE HOPELCHEN,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,HOPELCHÉN,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,19.74251,-89.85167,2016-08-16,263.84,1068.0,240.79,769.0,0.025,0.0015,0.305,3.0,14.8806,0.01,0.003,0.005,0.0005,0.005
DLCAM246-110617,DLCAM246,POZO 6 DEL SISTEMA DE AGUA POTABLE DE HOPELCHEN,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,HOPELCHÉN,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,19.74251,-89.85167,2017-06-08,357.83,1613.3,381.98,1032.512,0.025,0.0015,0.2,40.0,9.1715,0.01,0.003,0.005,0.0005,0.005
DLCAM246-161218,DLCAM246,POZO 6 DEL SISTEMA DE AGUA POTABLE DE HOPELCHEN,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,HOPELCHÉN,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,19.74251,-89.85167,2018-12-10,279.83,1236.0,406.52,791.0,0.1443,0.0124,0.2631,30.0,9.8791,0.01,0.003,0.005,0.0005,0.005
DLCAM246-270920,DLCAM246,POZO 6 DEL SISTEMA DE AGUA POTABLE DE HOPELCHEN,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,HOPELCHÉN,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,19.74251,-89.85167,2020-09-22,319.93,1211.0,315.78,803.0,0.13971,0.0104,1.658,1.0,1.0291,0.01,0.003,0.005,0.0005,0.005
DLCAM246-190921,DLCAM246,POZO 6 DEL SISTEMA DE AGUA POTABLE DE HOPELCHEN,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,HOPELCHÉN,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,19.74251,-89.85167,2021-09-17,153.76,1318.0,386.28,890.0,0.11382,0.0015,1.4289,1.0,49.0656,0.01,0.003,0.005,0.0005,0.005
DLCAM247-290913,DLCAM247,POZO 3 DEL SISTEMA DE AGUA POTABLE DE BOLONCHEN DE REJON,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,HOPELCHÉN,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.00898,-89.74793,2013-09-24,288.12,1656.0,596.23,1059.84,0.025,0.0015,0.2,2.0,27.2979,0.01,0.003,0.005,0.00198,0.005
DLCAM247-240814,DLCAM247,POZO 3 DEL SISTEMA DE AGUA POTABLE DE BOLONCHEN DE REJON,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,HOPELCHÉN,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.00898,-89.74793,2014-08-18,303.5,1658.0,821.9,1402.0,0.025,0.0015,0.276,3.0,49.114,0.01,0.003,0.005,0.0005,0.005
DLCAM247-110916,DLCAM247,POZO 3 DEL SISTEMA DE AGUA POTABLE DE BOLONCHEN DE REJON,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,HOPELCHÉN,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.00898,-89.74793,2016-08-16,254.14,1582.0,519.21,1298.0,0.0633,0.0015,0.4186,3.0,56.5353,0.01,0.003,0.005,0.0005,0.005
DLCAM247-110617,DLCAM247,POZO 3 DEL SISTEMA DE AGUA POTABLE DE BOLONCHEN DE REJON,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,HOPELCHÉN,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.00898,-89.74793,2017-06-08,292.5,2573.7,650.14,1314.0,0.025,0.0015,0.2,30.0,8.9911,0.01,0.003,0.005,0.0005,0.005
DLCAM247-161218,DLCAM247,POZO 3 DEL SISTEMA DE AGUA POTABLE DE BOLONCHEN DE REJON,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,HOPELCHÉN,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.00898,-89.74793,2018-12-10,307.13,1886.0,754.4,1346.0,0.145,0.0015,0.2753,30.0,1.7378,0.01,0.003,0.005,0.0005,0.005
DLCAM247-270920,DLCAM247,POZO 3 DEL SISTEMA DE AGUA POTABLE DE BOLONCHEN DE REJON,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,HOPELCHÉN,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.00898,-89.74793,2020-09-22,300.83,1751.0,584.19,1158.0,0.1399,0.0015,1.4981,1.0,0.838,0.01,0.003,0.005,0.0005,0.005
DLCAM248-290913,DLCAM248,POZO DEL SISTEMA DE AGUA POTABLE DE NOHALAL,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,HECELCHAKÁN,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.10319,-89.90955,2013-09-24,307.72,1806.0,681.41,1155.84,0.025,0.0015,0.2,2.0,6.4698,0.01,0.003,0.005,0.0005,0.005
DLCAM248-240814,DLCAM248,POZO DEL SISTEMA DE AGUA POTABLE DE NOHALAL,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,HECELCHAKÁN,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.10319,-89.90955,2014-08-18,325.4,1333.0,793.2,1294.0,0.025,0.0015,0.511,3.0,0.035,0.01,0.003,0.005,0.0005,0.005
DLCAM248-110916,DLCAM248,POZO DEL SISTEMA DE AGUA POTABLE DE NOHALAL,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,HECELCHAKÁN,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.10319,-89.90955,2016-08-16,267.72,1661.0,543.67,1347.0,0.047,0.0015,0.3165,3.0,4.6838,0.01,0.003,0.005,0.0005,0.005
DLCAM248-110617,DLCAM248,POZO DEL SISTEMA DE AGUA POTABLE DE NOHALAL,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,HECELCHAKÁN,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.10319,-89.90955,2017-06-08,320.78,2393.3,619.27,1030.0,0.025,0.0015,0.2,30.0,6.1266,0.01,0.003,0.005,0.0005,0.005
DLCAM248-161218,DLCAM248,POZO DEL SISTEMA DE AGUA POTABLE DE NOHALAL,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,HECELCHAKÁN,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.10319,-89.90955,2018-12-10,305.18,1830.0,773.94,1452.0,0.2541,0.0015,0.8071,30.0,5.5211,0.01,0.003,0.005,0.0005,0.005
DLCAM248-270920,DLCAM248,POZO DEL SISTEMA DE AGUA POTABLE DE NOHALAL,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,HECELCHAKÁN,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.10319,-89.90955,2020-09-22,305.6,1802.0,722.34,1191.0,0.2499,0.0015,1.7838,1.0,1.4103,0.01,0.003,0.005,0.0005,0.005
DLCAM249-220614,DLCAM249,POZO 1 DEL SISTEMA DE AGUA POTABLE DE HECELCHAKAN,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,HECELCHAKÁN,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.1959,-90.1235,2014-06-25,339.6,2050.0,672.1,1312.0,0.025,0.0015,0.59,30.0,5.322,0.01,0.003,0.005,0.0005,0.005
DLCAM249-110617,DLCAM249,POZO 1 DEL SISTEMA DE AGUA POTABLE DE HECELCHAKAN,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,HECELCHAKÁN,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.1959,-90.1235,2017-06-06,333.45,2270.7,534.39,1496.0,0.025,0.0015,1.0031,30.0,5.2493,0.01,0.003,0.005,0.0005,0.005
DLCAM249-280118,DLCAM249,POZO 1 DEL SISTEMA DE AGUA POTABLE DE HECELCHAKAN,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,HECELCHAKÁN,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.1959,-90.1235,2018-01-22,349.05,2030.7,302.93,1472.0,0.025,0.0015,0.2,30.0,4.2975,0.01,0.003,0.005,0.0005,0.005
DLCAM249-251118,DLCAM249,POZO 1 DEL SISTEMA DE AGUA POTABLE DE HECELCHAKAN,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,HECELCHAKÁN,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.1959,-90.1235,2018-11-23,173.55,2458.0,557.0,1552.0,0.025,0.0054,0.4522,70.0,5.3592,0.01,0.003,0.0444,0.0005,0.005
DLCAM249-180819,DLCAM249,POZO 1 DEL SISTEMA DE AGUA POTABLE DE HECELCHAKAN,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,HECELCHAKÁN,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.1959,-90.1235,2019-08-12,352.64,2113.0,675.6532,1504.0,0.0288,0.0054,0.4201,10.0,7.061292,0.01,0.003,0.0101,0.0005,0.005
DLCAM249-060920,DLCAM249,POZO 1 DEL SISTEMA DE AGUA POTABLE DE HECELCHAKAN,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,HECELCHAKÁN,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.1959,-90.1235,2020-08-31,296.05,2266.0,659.18,1485.0,0.025,0.00493,0.4265,1.0,5.4816,0.01,0.003,0.005,0.0005,0.005
DLCAM250-220614,DLCAM250,POZO DEL SISTEMA DE AGUA POTABLE DE POMUCH,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,HECELCHAKÁN,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.14573,-90.16612,2014-06-25,323.7,2450.0,785.7,1568.0,0.35,0.0015,0.99,3.0,4.695,0.01,0.003,0.005,0.0005,0.005
DLCAM250-260715,DLCAM250,POZO DEL SISTEMA DE AGUA POTABLE DE POMUCH,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,HECELCHAKÁN,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.14573,-90.16612,2015-07-23,331.65,919.0,758.16,588.16,0.2336,0.0015,0.9053,3.0,3.0719,0.01,0.003,0.005,0.0005,0.005
DLCAM250-110617,DLCAM250,POZO DEL SISTEMA DE AGUA POTABLE DE POMUCH,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,HECELCHAKÁN,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.14573,-90.16612,2017-06-06,323.7,2621.0,623.13,1750.0,0.025,0.0015,1.0015,40.0,4.185,0.01,0.003,0.005,0.0005,0.005
DLCAM250-280118,DLCAM250,POZO DEL SISTEMA DE AGUA POTABLE DE POMUCH,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,HECELCHAKÁN,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.14573,-90.16612,2018-01-22,345.15,2545.7,283.39,1737.0,0.025,0.0015,0.5404,30.0,3.2137,0.01,0.003,0.005,0.0005,0.005
DLCAM250-251118,DLCAM250,POZO DEL SISTEMA DE AGUA POTABLE DE POMUCH,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,HECELCHAKÁN,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.14573,-90.16612,2018-11-23,148.2,2922.0,719.22,1896.0,0.025,0.0128,0.6003,30.0,4.543,0.01,0.003,0.0455,0.0005,0.005
DLCAM250-180819,DLCAM250,POZO DEL SISTEMA DE AGUA POTABLE DE POMUCH,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,HECELCHAKÁN,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.14573,-90.16612,2019-08-12,383.96,2581.0,755.7616,1832.0,0.0425,0.0041,0.5959,98.0,5.407862,0.01,0.003,0.0095,0.0005,0.005
DLCAM250-060920,DLCAM250,POZO DEL SISTEMA DE AGUA POTABLE DE POMUCH,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,HECELCHAKÁN,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.14573,-90.16612,2020-08-31,279.82,2762.0,951.28,1777.0,0.025,0.01431,0.5588,1.0,4.3521,0.01,0.003,0.005,0.0005,0.005
DLCAM251-220614,DLCAM251,POZO 3 DEL SISTEMA DE AGUA POTABLE DE TENABO,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,TENABO,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.02983,-90.22615,2014-06-25,276.2,2033.0,1221.1,1301.12,0.025,0.0015,0.663,3.0,3.891,0.01,0.003,0.005,0.0005,0.005
DLCAM251-260715,DLCAM251,POZO 3 DEL SISTEMA DE AGUA POTABLE DE TENABO,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,TENABO,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.02983,-90.22615,2015-07-23,277.2,845.0,1364.69,2445.0,0.025,0.0015,0.8856,3.0,2.7203,0.01,0.003,0.005,0.0005,0.005
DLCAM251-110617,DLCAM251,POZO 3 DEL SISTEMA DE AGUA POTABLE DE TENABO,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,TENABO,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.02983,-90.22615,2017-06-05,264.23,2840.7,1033.94,2303.0,0.025,0.0015,1.133,30.0,3.5587,0.01,0.003,0.005,0.0005,0.005
DLCAM251-280118,DLCAM251,POZO 3 DEL SISTEMA DE AGUA POTABLE DE TENABO,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,TENABO,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.02983,-90.22615,2018-01-22,294.45,2427.0,863.84,2189.0,0.025,0.0015,0.9025,30.0,2.8212,0.01,0.003,0.005,0.0005,0.005
DLCAM251-180819,DLCAM251,POZO 3 DEL SISTEMA DE AGUA POTABLE DE TENABO,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,TENABO,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.02983,-90.22615,2019-08-12,293.48,2933.0,1346.5357,2276.0,0.0714,0.0015,0.6899,10.0,4.470608,0.01,0.003,0.0113,0.0005,0.005
DLCAM251-060920,DLCAM251,POZO 3 DEL SISTEMA DE AGUA POTABLE DE TENABO,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,TENABO,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.02983,-90.22615,2020-08-31,241.62,2486.0,832.86,1595.0,0.025,0.0015,0.828,1.0,2.1409,0.01,0.003,0.005,0.0005,0.005
DLCAM252-020613,DLCAM252,POZO DEL SISTEMA DE AGUA POTABLE DE DZITBALCHE,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,CALKINÍ,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.321355,-90.059102,2013-05-28,348.88,2512.0,695.9,1607.68,0.025,0.0015,0.4026,2400.0,7.9991,0.01,0.003,0.005,0.0005,0.005
DLCAM252-220614,DLCAM252,POZO DEL SISTEMA DE AGUA POTABLE DE DZITBALCHE,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,CALKINÍ,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.321355,-90.059102,2014-06-25,353.4,2456.0,719.4,1571.84,0.025,0.0015,0.634,230.0,9.577,0.01,0.003,0.005,0.0005,0.005
DLCAM252-280816,DLCAM252,POZO DEL SISTEMA DE AGUA POTABLE DE DZITBALCHE,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,CALKINÍ,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.321355,-90.059102,2016-06-22,341.61,2339.0,586.89,1520.0,0.939,0.003,0.4523,70.0,8.6371,0.01,0.003,0.005,0.0005,0.005
DLCAM252-110617,DLCAM252,POZO DEL SISTEMA DE AGUA POTABLE DE DZITBALCHE,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,CALKINÍ,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.321355,-90.059102,2017-06-06,352.95,2503.0,580.69,1746.0,0.025,0.0015,0.9779,30.0,7.0276,0.01,0.003,0.005,0.0005,0.005
DLCAM252-280118,DLCAM252,POZO DEL SISTEMA DE AGUA POTABLE DE DZITBALCHE,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,CALKINÍ,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.321355,-90.059102,2018-01-22,359.78,2245.0,304.89,1675.0,0.025,0.0015,0.7606,30.0,7.1139,0.01,0.003,0.005,0.0005,0.005
DLCAM252-251118,DLCAM252,POZO DEL SISTEMA DE AGUA POTABLE DE DZITBALCHE,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,CALKINÍ,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.321355,-90.059102,2018-11-23,171.6,2778.0,676.22,1808.0,0.025,0.0025,0.4143,90.0,7.6979,0.01,0.003,0.0421,0.0005,0.005
DLCAM252-180819,DLCAM252,POZO DEL SISTEMA DE AGUA POTABLE DE DZITBALCHE,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,CALKINÍ,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.321355,-90.059102,2019-08-12,370.04,2487.0,684.5983,1624.0,0.025,0.0015,0.5544,530.0,10.465089,0.01,0.003,0.005,0.0005,0.005
DLCAM252-060920,DLCAM252,POZO DEL SISTEMA DE AGUA POTABLE DE DZITBALCHE,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,CALKINÍ,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.321355,-90.059102,2020-08-31,304.65,2595.0,773.65,1699.0,0.025,0.002,0.489,1.0,8.3893,0.01,0.003,0.005,0.0005,0.005
DLCAM253-110617,DLCAM253,POZO 2 DEL SISTEMA DE AGUA POTABLE DE CALKINI,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,CALKINÍ,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.37721,-90.0605,2017-06-06,334.43,3173.0,754.32,2155.0,0.025,0.0015,0.8452,430.0,5.8503,0.01,0.003,0.005,0.0005,0.005
DLCAM253-280118,DLCAM253,POZO 2 DEL SISTEMA DE AGUA POTABLE DE CALKINI,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,CALKINÍ,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.37721,-90.0605,2018-01-22,334.9,3110.3,300.98,2156.0,0.025,0.0015,0.662,30.0,5.2047,0.01,0.003,0.005,0.0005,0.005
DLCAM253-251118,DLCAM253,POZO 2 DEL SISTEMA DE AGUA POTABLE DE CALKINI,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,CALKINÍ,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.37721,-90.0605,2018-11-23,191.1,3465.0,789.58,2276.0,0.025,0.0052,0.3066,430.0,6.6745,0.01,0.003,0.0421,0.0005,0.005
DLCAM253-180819,DLCAM253,POZO 2 DEL SISTEMA DE AGUA POTABLE DE CALKINI,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,CALKINÍ,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.37721,-90.0605,2019-08-12,385.12,2977.0,869.4637,2068.0,0.025,0.0079,0.3873,10.0,8.658426,0.01,0.003,0.0102,0.0005,0.005
DLCAM253-060920,DLCAM253,POZO 2 DEL SISTEMA DE AGUA POTABLE DE CALKINI,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,CALKINÍ,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.37721,-90.0605,2020-08-31,297.01,3207.0,959.17,2097.0,0.025,0.00479,0.2469,1.0,5.6645,0.01,0.003,0.005,0.0005,0.005
DLCAM256-100313,DLCAM256,POZO DEL SISTEMA DE AGUA POTABLE DE CENTENARIO,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,ESCÁRCEGA,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,18.648749,-90.288313,2013-03-08,302.38,851.0,430.1,544.64,0.025,0.0015,0.8287,2.0,8.781,0.01,0.003,0.005,0.0005,0.005
DLCAM256-240814,DLCAM256,POZO DEL SISTEMA DE AGUA POTABLE DE CENTENARIO,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,ESCÁRCEGA,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,18.648749,-90.288313,2014-08-22,316.4,748.0,426.0,574.0,0.025,0.0015,0.51,24000.0,4.788,0.01,0.003,0.005,0.0005,0.005
DLCAM256-220215,DLCAM256,POZO DEL SISTEMA DE AGUA POTABLE DE CENTENARIO,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,ESCÁRCEGA,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,18.648749,-90.288313,2015-02-18,315.0,790.0,313.12,482.0,0.025,0.0015,0.227,11000.0,3.3739,0.01,0.003,0.005,0.0005,0.005
DLCAM256-210216,DLCAM256,POZO DEL SISTEMA DE AGUA POTABLE DE CENTENARIO,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,ESCÁRCEGA,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,18.648749,-90.288313,2016-08-17,278.39,651.0,158.02,446.0,0.025,0.0015,0.2,3.0,2.4261,0.01,0.003,0.005,0.0005,0.005
DLCAM256-110617,DLCAM256,POZO DEL SISTEMA DE AGUA POTABLE DE CENTENARIO,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,ESCÁRCEGA,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,18.648749,-90.288313,2017-06-09,220.3,1067.7,362.69,439.0,0.025,0.0015,0.2606,150.0,2.0768,0.01,0.003,0.005,0.0005,0.005
DLCAM256-270920,DLCAM256,POZO DEL SISTEMA DE AGUA POTABLE DE CENTENARIO,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,ESCÁRCEGA,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,18.648749,-90.288313,2020-09-22,275.04,720.0,284.2,502.0,0.2005,0.0251,0.9052,1.0,0.6119,0.01,0.003,0.005,0.0005,0.005
DLCAM262-230214,DLCAM262,POZO DEL SISTEMA DE AGUA POTABLE DE BEL HA,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,CALAKMUL,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,18.93264,-89.31538,2014-02-18,215.1,2766.0,1509.9,2098.0,0.195,0.0015,0.936,2400.0,1.494,0.01,0.003,0.005,0.0005,0.005
DLCAM262-220215,DLCAM262,POZO DEL SISTEMA DE AGUA POTABLE DE BEL HA,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,CALAKMUL,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,18.93264,-89.31538,2015-02-18,255.0,3823.0,2035.28,3600.0,0.025,0.0015,0.934,90.0,1.9486,0.01,0.003,0.005,0.0005,0.005
DLCAM262-210216,DLCAM262,POZO DEL SISTEMA DE AGUA POTABLE DE BEL HA,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,CAMPECHE,CALAKMUL,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,18.93264,-89.31538,2016-08-16,199.82,3045.0,2652.49,3252.0,0.1018,0.0015,0.9558,3.0,3.3714,0.01,0.003,0.005,0.0005,0.005
